Time,Station,Load,EV_count
137,4,0,0
137,5,0,0
137,6,0,0
137,7,63,2
137,8,284,8
137,9,488,18
137,10,459,14
138,1,0,0
138,2,0,0
138,3,0,0
138,4,0,0
138,5,0,0
138,6,0,0
138,7,63,2
138,8,284,8
138,9,488,18
138,10,459,14
139,1,0,0
139,2,0,0
139,3,0,0
139,4,0,0
139,5,0,0
139,6,0,0
139,7,63,2
139,8,284,8
139,9,503,19
139,10,459,14
140,1,0,0
140,2,0,0
140,3,0,0
140,4,0,0
140,5,0,0
140,6,0,0
140,7,63,2
140,8,284,8
140,9,503,19
140,10,459,14
141,1,0,0
141,2,0,0
141,3,0,0
141,4,0,0
141,5,0,0
141,6,0,0
141,7,63,2
141,8,284,8
141,9,547,20
141,10,459,14
142,1,0,0
142,2,0,0
142,3,0,0
142,4,0,0
142,5,0,0
142,6,0,0
142,7,63,2
142,8,284,8
142,9,547,20
142,10,459,14
143,1,0,0
143,2,0,0
143,3,0,0
143,4,0,0
143,5,0,0
143,6,0,0
143,7,63,2
143,8,284,8
143,9,547,20
143,10,459,14
144,1,0,0
144,2,0,0
144,3,0,0
144,4,0,0
144,5,0,0
144,6,0,0
144,7,63,2
144,8,284,8
144,9,547,20
144,10,459,14
145,1,0,0
145,2,0,0
145,3,0,0
145,4,0,0
145,5,0,0
145,6,0,0
145,7,63,2
145,8,284,8
145,9,547,20
145,10,459,14
146,1,0,0
146,2,0,0
146,3,0,0
146,4,0,0
146,5,0,0
146,6,0,0
146,7,63,2
146,8,284,8
146,9,547,20
146,10,462,14
147,1,0,0
147,2,0,0
147,3,0,0
147,4,0,0
147,5,0,0
147,6,0,0
147,7,63,2
147,8,284,8
147,9,547,20
147,10,418,13
148,1,0,0
148,2,0,0
148,3,0,0
148,4,0,0
148,5,0,0
148,6,0,0
148,7,63,2
148,8,284,8
148,9,579,21
148,10,373,12
149,1,0,0
149,2,0,0
149,3,0,0
149,4,0,0
149,5,0,0
149,6,0,0
149,7,63,2
149,8,308,9
149,9,579,21
149,10,330,11
150,1,0,0
150,2,0,0
150,3,0,0
150,4,0,0
150,5,0,0
150,6,0,0
150,7,63,2
150,8,308,9
150,9,536,20
150,10,330,11
151,1,0,0
151,2,0,0
151,3,0,0
151,4,0,0
151,5,0,0
151,6,0,0
151,7,63,2
151,8,308,9
151,9,506,19
151,10,330,11
152,1,0,0
152,2,0,0
152,3,0,0
152,4,0,0
152,5,0,0
152,6,0,0
152,7,63,2
152,8,308,9
152,9,461,18
152,10,352,12
153,1,0,0
153,2,0,0
153,3,0,0
153,4,0,0
153,5,0,0
153,6,0,0
153,7,63,2
153,8,308,9
153,9,450,17
153,10,352,12
154,1,0,0
154,2,0,0
154,3,0,0
154,4,0,0
154,5,0,0
154,6,0,0
154,7,63,2
154,8,308,9
154,9,418,16
154,10,352,12
155,1,0,0
155,2,0,0
155,3,0,0
155,4,0,0
155,5,0,0
155,6,32,1
155,7,63,2
155,8,308,9
155,9,375,15
155,10,352,12
156,1,0,0
156,2,0,0
156,3,0,0
156,4,0,0
156,5,0,0
156,6,32,1
156,7,63,2
156,8,308,9
156,9,343,14
156,10,378,13
157,1,0,0
157,2,0,0
157,3,0,0
157,4,0,0
157,5,0,0
157,6,32,1
157,7,63,2
157,8,308,9
157,9,299,13
157,10,343,12
158,1,0,0
158,2,0,0
158,3,0,0
158,4,0,0
158,5,0,0
158,6,0,0
158,7,63,2
158,8,282,8
158,9,330,13
158,10,332,11
159,1,0,0
159,2,0,0
159,3,0,0
159,4,0,0
159,5,0,0
159,6,0,0
159,7,63,2
159,8,253,7
159,9,317,12
159,10,333,11
160,1,0,0
160,2,0,0
160,3,0,0
160,4,0,0
160,5,0,0
160,6,0,0
160,7,63,2
160,8,217,6
160,9,300,11
160,10,333,11
161,1,0,0
161,2,0,0
161,3,0,0
161,4,0,0
161,5,0,0
161,6,0,0
161,7,63,2
161,8,171,5
161,9,283,10
161,10,333,11
162,1,0,0
162,2,0,0
162,3,0,0
162,4,0,0
162,5,0,0
162,6,0,0
162,7,93,3
162,8,127,4
162,9,238,9
162,10,333,11
163,1,0,0
163,2,0,0
163,3,0,0
163,4,0,0
163,5,12,1
163,6,0,0
163,7,93,3
163,8,127,4
163,9,227,8
163,10,333,11
164,1,0,0
164,2,0,0
164,3,0,0
164,4,0,0
164,5,12,1
164,6,0,0
164,7,93,3
164,8,127,4
164,9,207,7
164,10,333,11
165,1,0,0
165,2,0,0
165,3,0,0
165,4,0,0
165,5,12,1
165,6,0,0
165,7,93,3
165,8,127,4
165,9,191,7
165,10,333,11
166,1,0,0
166,2,0,0
166,3,0,0
166,4,0,0
166,5,12,1
166,6,0,0
166,7,93,3
166,8,127,4
166,9,175,6
166,10,333,11
167,1,0,0
167,2,0,0
167,3,0,0
167,4,0,0
167,5,12,1
167,6,0,0
167,7,93,3
167,8,127,4
167,9,152,5
167,10,374,12
168,1,0,0
168,2,0,0
168,3,0,0
168,4,0,0
168,5,12,1
168,6,0,0
168,7,93,3
168,8,127,4
168,9,137,4
168,10,374,12
169,1,0,0
169,2,0,0
169,3,0,0
169,4,0,0
169,5,12,1
169,6,0,0
169,7,93,3
169,8,127,4
169,9,93,3
169,10,404,13
170,1,0,0
170,2,0,0
170,3,0,0
170,4,0,0
170,5,12,1
170,6,0,0
170,7,93,3
170,8,159,5
170,9,61,2
170,10,404,13
171,1,0,0
171,2,0,0
171,3,0,0
171,4,0,0
171,5,12,1
171,6,0,0
171,7,93,3
171,8,159,5
171,9,12,1
171,10,404,13
172,1,0,0
172,2,0,0
172,3,0,0
172,4,0,0
172,5,23,2
172,6,0,0
172,7,93,3
172,8,159,5
172,9,12,1
172,10,404,13
173,1,0,0
173,2,0,0
173,3,0,0
173,4,0,0
173,5,23,2
173,6,0,0
173,7,93,3
173,8,159,5
173,9,41,2
173,10,404,13
174,1,0,0
174,2,0,0
174,3,0,0
174,4,0,0
